_id,name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
659f34b2c72de7d60a624240,Tahara,23784,Valid,H4/5,1000,Fell,1991,34.72,137.305,"(34.72, 137.305)"
659f34b2c72de7d60a624242,Talampaya,23791,Valid,Eucrite-cm,1421,Fell,1995,,,
659f34b2c72de7d60a62424e,Thika,54493,Valid,L6,14200,Fell,2011,-1.00278,37.15028,"(-1.00278, 37.15028)"
659f34b2c72de7d60a62424f,Thuathe,23976,Valid,H4/5,45300,Fell,2002,-29.33333,27.58333,"(-29.33333, 27.58333)"
659f34b2c72de7d60a624244,Tamdakht,48691,Valid,H5,100000,Fell,2008,31.16333,-7.015,"(31.16333, -7.015)"
659f34b2c72de7d60a624250,Tianzhang,23984,Valid,H5,2232,Fell,1986,32.94667,118.99,"(32.94667, 118.99)"
659f34b2c72de7d60a624256,Tissint,54823,Valid,Martian (shergottite),7000,Fell,2011,29.48195,-7.61123,"(29.48195, -7.61123)"
659f34b2c72de7d60a62425c,Tomiya,24024,Valid,H4/5,27.5,Fell,1984,38.36667,140.86556,"(38.36667, 140.86556)"
659f34b2c72de7d60a62425e,Torino,24029,Valid,H6,977,Fell,1988,45.06667,7.66667,"(45.06667, 7.66667)"
659f34b2c72de7d60a624263,Trebbin,24042,Valid,LL6,1250,Fell,1988,52.21667,13.16667,"(52.21667, 13.16667)"
659f34b2c72de7d60a624269,Tsukuba,24059,Valid,H5-6,800,Fell,1996,36.06333,140.145,"(36.06333, 140.145)"
659f34b2c72de7d60a62426d,Turtle Lake,47343,Valid,L5,89.3,Fell,1996,45.34583,-92.05167,"(45.34583, -92.05167)"
659f34b2c72de7d60a624275,Uchkuduk,24098,Valid,L6,1000,Fell,1989,41.76667,62.51667,"(41.76667, 62.51667)"
659f34b2c72de7d60a62427c,Undulung,24121,Valid,L4,113.4,Fell,1986,66.13889,124.76667,"(66.13889, 124.76667)"
659f34b2c72de7d60a624287,Varre-Sai,53633,Valid,L5,2500,Fell,2010,-20.85001,-41.73356,"(-20.85001, -41.73356)"
659f34b2c72de7d60a62428c,Villalbeto de la Peña,24179,Valid,L6,3500,Fell,2004,42.8,-4.66667,"(42.8, -4.66667)"
659f34b2c72de7d60a624297,Werdama,47344,Valid,H5,4000,Fell,2006,32.79732,21.78713,"(32.79732, 21.78713)"
659f34b2c72de7d60a624291,Vissannapeta,24188,Valid,Eucrite-cm,1303.8,Fell,1997,16.83333,80.75,"(16.83333, 80.75)"
659f34b2c72de7d60a62429e,Whetstone Mountains,49514,Valid,H5,2138.74,Fell,2009,31.96185,-110.434183,"(31.96185, -110.434183)"
659f34b2c72de7d60a6242a8,Wuan,24340,Valid,H6,50000,Fell,1986,36.75,114.25,"(36.75, 114.25)"
659f34b2c72de7d60a6242a7,Worden,24337,Valid,L5,1551,Fell,1997,42.38467,-83.6115,"(42.38467, -83.6115)"
